wallet_address, role, funder_type, funded_by, first_documented, notes
0xCaf2C54E400437da717cF215181B170F65187aBf, operator, wallet, 0xD44a53c0d5Ab8E6C07cB20d482B3d2CB76029dd3, 2026-03-13, "Earliest documented sighting in this dataset. Believed to be the first wallet I identified. I started using tria.ge ~2026-04-26, so there's no entry for it. Heavily reused across many unrelated compromised domains over a period the operator has likely run for over a year."
0xD44a53c0d5Ab8E6C07cB20d482B3d2CB76029dd3, funding, wallet, NA, 2026-07-05, "Seen paired with 0xCaf2C5... as funding wallet. Same caveats on first-use date as above."
0xb0425bF235A2275735C8C5d668Aa0273C65970b9, operator, wallet, 0xCaf2C54E400437da717cF215181B170F65187aBf, 2026-07-08, "Seen earlier, but documented now"
0xf1940DDBDA56074ce29bB0b6eA8D62db974870a5, operator, wallet, 0xCaf2C54E400437da717cF215181B170F65187aBf, 2026-07-08, "Seen earlier, but documented now"
0x460597A2Fd0Cd963f3c0575Ff44f1C14BC59839c, operator, wallet, 0x88bf9BFa64380B173170C21B0e13CB5135E198cF, 2026-07-08, "Seen earlier, but documented now"
0x34c15320d6E8f59f1b66f6c191Aaa7F87B894B66, operator, wallet, 0x6FCACA5958193e48Da350f568C28F034a9632454, 2026-07-08, "Seen earlier, but documented now"
0xa70B18ebb5C1cF9Ee533A019975F09Aed4d276b5, operator, wallet, 0x36a6c7069a65214800Ba2cF1b376F6146D0461e4, 2026-07-08, "Seen earlier, but documented now"
0xCaf2C54E400437da717cF215181B170F65187aBf, funding, wallet, NA, 2026-07-08, "Seen earlier, but documented now. This wallet does double duty as an operator and funder of several wallets."
0x88bf9BFa64380B173170C21B0e13CB5135E198cF, funding, wallet, NA, 2026-07-08, "Seen earlier, but documented now"
0x6FCACA5958193e48Da350f568C28F034a9632454, funding, wallet, NA, 2026-07-08, "Seen earlier, but documented now"
0x36a6c7069a65214800Ba2cF1b376F6146D0461e4, funding, wallet, NA, 2026-07-08, "Seen earlier, but documented now"
0x25a7625b3c74bb0452333C8D7F463a2f640FA5aF, operator, wallet, 0x5FD18549e89b3664dFd13184D751956DcbeaA820, 2026-07-09, ""
0x5FD18549e89b3664dFd13184D751956DcbeaA820, funding, wallet, NA, 2026-07-09, ""
0x88361C914Bb0942da9a1b7Bb396a7513C1917aee, operator, wallet, 0xfd32AAeA15C49dC96148f2C9d1d84C93Ae7A98Bc, 2026-07-10, "Note to self and others: Keep an eye out for more evidence than is listed in the compromised-sites.csv. I'm comfortable with them being here, but really want more."
0xfd32AAeA15C49dC96148f2C9d1d84C93Ae7A98Bc, funding, wallet, NA, 2026-07-10, "Note to self and others: Keep an eye out for more evidence than is listed in the compromised-sites.csv. I'm comfortable with them being here, but really want more."
0x2c9dDF1De622dA1997613Cf0498fF8Bd1E6833E9, operator, contract, 0x7150ea07D00d8E5a46bcC809f1c9FDf5cb5f8E81, 2026-07-15, "This is the first time I've encountered a wallet funded by a contract, so I added a new column to say whether it's a wallet or a contract."
0xEf37aD2BACD70119F141140f7B5E46Cd53a65fc4, funding, wallet, NA, 2026-07-15, "This is the first time I've encountered a wallet funded by a contract, so I added a new column to say whether it's a wallet or a contract. So, I took it up one more to get an actual wallet."
0xd71f4cdC84420d2bd07F50787B4F998b4c2d5290, operator, wallet, NA, 2026-07-21, ""
0xAf7bAA118de56fB6F652B9E880211f03c928d2E1, funding, wallet, NA, 2026-07-21, ""
